,year,total_scrap_amount,hangzhou_,ningbo_,wenzhou_,jiaxing_,huzhou_,shaoxing_,jinhua_,quzhou_,zhoushan_,taizhou_,lishui_
0,2025,0.17036608720769628,0.0320288243950469,0.024873448732323656,0.02504381481953135,0.014310751325446487,0.008859036534800207,0.013799653063823398,0.0183995374184312,0.00596281305226937,0.0030665895697385335,0.017377340895185018,0.006473911313892459
1,2026,0.30673690354449673,0.057666537866365386,0.04478358791749652,0.045090324821041014,0.025765899897737726,0.01595031898431383,0.024845689187104236,0.03312758558280565,0.010735791624057387,0.005521264263800942,0.031287164161538664,0.011656002334690876
2,2027,0.5255527081016966,0.09880390912311897,0.0767306953828477,0.0772562480909494,0.04414642748054252,0.027328740821288226,0.04256976935623743,0.05675969247498324,0.018394344783559384,0.00945994874583054,0.05360637622637305,0.019971002907864473
3,2028,0.8633515589043764,0.16231009307402278,0.12604932760003895,0.12691267915894333,0.07252153094796762,0.04489428106302758,0.0699314762712545,0.09324196836167266,0.03021730456165318,0.015540328060278778,0.0880618590082464,0.0328073592383663
4,2029,1.3674869323252834,0.2570875432771533,0.19965309211949137,0.20102057905181664,0.11486890231532382,0.07110932048091474,0.11076644151834796,0.14768858869113063,0.047862042631384924,0.024614764781855106,0.1394836670971789,0.051964503428360766
5,2030,2.0983601511484142,0.39449170841590186,0.3063605820676685,0.30845894221881687,0.1762622526964668,0.10911472785971756,0.16996717224302155,0.22662289632402877,0.0734426052901945,0.03777048272067146,0.21403273541713824,0.07973768574363974
6,2031,3.131300068791459,0.5886844129327943,0.457169810043553,0.4603011101123445,0.2630292057784826,0.1628276035771559,0.2536353055721082,0.33818040742947764,0.10959550240770108,0.05636340123824627,0.31939260701672884,0.11898940261407545
7,2032,4.558252789405022,0.856951524408144,0.6655049072531332,0.6700631600425382,0.38289323431002187,0.23702914504906114,0.3692184759418068,0.4922913012557424,0.15953884762917578,0.0820485502092904,0.4649417845193122,0.17321360599739083
8,2033,6.489114371982165,1.219953501932647,0.9474106983093961,0.9538998126813781,0.5450856072465019,0.3374339473430726,0.5256182641305553,0.7008243521740739,0.2271190030193758,0.11680405869567898,0.6618896659421808,0.24658634613532227
9,2034,9.052418225029758,1.7018546263055945,1.3216530608543446,1.3307054790793744,0.7604031309024997,0.47072574770154746,0.7332458762274104,0.9776611683032139,0.31683463787604155,0.16294352805053566,0.9233466589530352,0.3439918925511308
10,2035,12.395042572624536,2.330268003653413,1.8096762156031823,1.8220712581758067,1.041183576100461,0.6445422137764759,1.0039984483825874,1.3386645978434502,0.4338264900418588,0.2231107663072417,1.2642943424077027,0.4710116177597324
